
AG_Hays;2019-02-03 21:47;0;0;"All 50+,CrazyTown, # Brexit cooked up by Oligarchs @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono ?";;@ @;# # # # # #
AG_Hays;2019-02-03 09:38;0;0;"All 50+,CrazyTown, # Brexit cooked up by Oligarchs @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono ?";;@ @;# # # # # #
AG_Hays;2019-01-30 23:53;0;0;"@ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono RUToryLords @ LordAshcroft @ Arron_banks ,,,,,,pic.twitter.com/vSBjh4aQuX";;@ @ @ @;# # # # #
AG_Hays;2019-01-30 23:17;0;0;"@ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono RUToryLords @ LordAshcroft @ Arron_banks ,,,,,,";;@ @ @ @;# # # # #
AG_Hays;2019-01-29 02:23;0;0;"@ campbellclaret @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono RULords @ LordAshcroft @ Arron_bankspic.twitter.com/LhyWN4R3Ev";;@ @ @ @ @;# # # # #
derrell_i;2019-01-25 04:36;0;0;"# WhoIsJohnGault # RandCorp # JPMChase 1%=95% Elizabeth Warren to propose new ‘wealth tax’ on very rich Americans, economist says https://www.washingtonpost.com/business/2019/01/24/elizabeth-warren-propose-new-wealth-tax-very-rich-americans-economist-says/ …";;;# # #
AG_Hays;2019-01-25 02:39;0;0;"@ DamianCollins @ Jacob_Rees_Mogg KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz # Airbus Cui Bono # RUMafiyaToryLords @ LordAshcroft";;@ @ @;# # # # # # #
AG_Hays;2019-01-25 01:51;1;1;"@ DamianCollins @ Jacob_Rees_Mogg KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz AirBus! Cui Bono # RUMafiyaToryLords @ LordAshcroftpic.twitter.com/eHxJ08NOpv";;@ @ @;# # # # # #
AG_Hays;2019-01-18 23:21;0;0;"@ DamianCollins @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono # RUMafiyaToryLords @ LordAshcroftpic.twitter.com/Pt9zwHlgyQ";;@ @ @ @;# # # # # #
AG_Hays;2019-01-18 22:34;0;0;"@ DamianCollins @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono # RUMafiyaToryLords @ LordAshcroftpic.twitter.com/y6r1uuxkAy";;@ @ @ @;# # # # # #
AG_Hays;2019-01-18 21:35;0;0;"@ Jacob_Rees_Mogg @ BorisJohnson KNOW # UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono # RUMafiyaToryBrexiteerspic.twitter.com/dNuExd0D8P";;@ @;# # # # # # #
AG_Hays;2019-01-18 21:34;0;0;"@ Jacob_Rees_Mogg @ BorisJohnson KNOW # UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono # RUMafiyaToryBrexiteerspic.twitter.com/hOSivUPQf8";;@ @;# # # # # # #
DR4183;2019-01-18 07:51;0;0;"1) I don't like some of his politics, especially opposition to @ realDonaldTrump, but 2) the BoD like his job performance 3) JPMChase is making money, besides 4) $31 mil is small change to Chase. 5) If you don't own stock in Chase you have no right or reason to disaporove.";;@;
timlt4;2019-01-17 07:16;0;1;"Oh been there! And new software programs? Ugh... We had SAP in Accounts Payable at JPMChase and it was a bear to work with until I got used to it. After 4 years I mastered it. Then AP operations went to Mumbai. I wrote the guidelines & procedures for the folks there to use it.";;;
JoAnnBarefoot;2019-01-17 02:39;0;3;"So exciting to be with the CFSI FinLab to meet the new cohort of innovators and spend time with the amazing alums, staff and team from JPMChase! https://twitter.com/gmorishige/status/1085361351407489024 …";;;
AG_Hays;2019-01-16 23:32;0;0;"@ Nigel_Farage = Prison @ Jacob_Rees_Mogg @ BorisJohnson KNOW # UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono RUToryLords, # RUMafiyapic.twitter.com/TFMXtBB9Sq";;@ @ @;# # # # # # #
AG_Hays;2019-01-16 22:35;0;0;"from year ago " @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono RUToryLords, # RUMafiya"";;@ @;# # # # # #
360chick;2019-01-15 00:58;0;0;"@ jpmchase @ kevinhart brilliant! luv!https://lnkd.in/dKFD3VV";;@ @;
jar631;2019-01-14 09:47;0;0;"AND the Fed can print as much money secretly as it wants bc it is a pvt cartel. The Fed's owners (Citi JPMChase Morgan Stanley Bank America et al) must have hundreds of $Trillions squirreled away in the Cayman Islands or other secret accounts";;;
RobertJ14084642;2018-12-30 02:41;0;0;"JPMChase - Stop funding tar sands/pipelines!";;;
RobertJ14084642;2018-12-27 01:09;0;0;"@ jpmorgan JPMChase is a really dirty bank. They are the biggest Wall Street funder of tar sands and fossil fuels. Just last year, Chase financed dirty and destructive fossil fuels to the tune of almost $12 billion. # DefundTarSands # DefundClimateChange # WaterIslife # ShutDownChase";;@;# # # #
Prellisbio;2018-12-17 01:10;2;5;"Our lead optical engineer putting the final touches on the internal workings of the # Holograph-X alpha unit we're demoing # JPMChase 2019! Get your own w/ @ CELLINK3D ... Stay tuned for details and location in the first week of January! # biotech # startup # entrepreneur # Engineeringpic.twitter.com/sJclyNGio5";;@;# # # # # #
UMiamiCCE;2018-12-15 00:13;0;0;"Tune in tonight to Your South Florida at 7:30pm! Pam Giganti talks to Dr. Robin Bachin about University of Miami's Office of Civic & Community Engagement's latest project funded by JPMChase: Housing... https://www.facebook.com/umiamicivicengagement/posts/2299014586784957 …";;;
neenahyena;2018-12-14 11:45;0;1;"Thanks @ runasand! Also recommend @ CTI_chic ! She does cool cyber intelligence investigations at jpmchase!";;@ @;
winzaloft;2018-12-11 15:15;0;0;"@ Klemkau Not that real JPMChase funds GOP Legislators in Wisc to disempower freely elected Dem Gov & Atty General of their authority One giant step to authoritarianism as our Democracy is attacked By Russia & frm within Chase, etc https://www.nytimes.com/2018/12/09/opinion/wisconsin-republicans-walgreens-campaign-finance.html …";;@;
AG_Hays;2018-12-10 22:14;0;0;"brexit,what does it accomplish for # UK ? Seriously? slow immigration? I'm looking at economic studies out of Yale,Columbia,Harvard,UoPenn,BoAML,Goldman, JPMChase- all say ZERO economic bennies accrue to # UK";;;# #
AG_Hays;2018-12-10 21:26;0;0;"morn Louise ,brexit,what does it accomplish for # UK ? Seriously? slow immigration? I'm looking at economic studies out of Yale,Columbia,Harvard,UoPenn,BoAML,Goldman, JPMChase- all say ZERO economic bennies accrue to # UK Please help me out-what am I missing?";;;# #
Prellisbio;2018-12-01 07:25;0;4;"@ Prellisbio is happy to announce we've been selected to pitch at the @ JPMChase # healthcare conference as part of the # Biotech Showcase! We'll see you in # SanFrancisco in January!pic.twitter.com/XXwhBAidRz";;@ @;# # #
AG_Hays;2018-11-28 01:10;0;0;"@ Aiannucci @ Anna_Soubry- @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman See # UKGDP DROP # LEAST%11 Or more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono? @ Arron_banks RU doing "Gold & diamond deals" still? @ GCHQpic.twitter.com/bpcSe5R6l2";;@ @ @ @ @ @;# # # #
AG_Hays;2018-11-28 01:02;0;0;"@ Aiannucci @ Anna_Soubry- @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman See # UKGDP DROP # LEAST%11 Or more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono? @ Arron_banks RU doing "Gold & diamond deals" still? @ GCHQpic.twitter.com/CT2UDTCdrH";;@ @ @ @ @ @;# # # #
Hapsys;2018-11-26 20:42;0;0;"Anyone familiar with the US pension fund # NCH Capital? It holds about 450.000 ha of Ukraine farmland. Others mentioned are # JPMChase, United Farmers Holding Company, # Agrogeneration, # SigmaBleyzer Just to give an idea of Western entanglement in Ukraine.https://www.oaklandinstitute.org/blog/who-owns-agricultural-land-ukraine …";;;# # # #
AG_Hays;2018-11-21 02:43;0;0;"@ Aiannucci @ Anna_Soubry @ j_l_marsden- @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman See # UKGDP DROP # LEAST%11 Or more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono? Arron RU doing "Gold & diamond deals"? @ GCHQpic.twitter.com/QgfvCuNi8l";;@ @ @ @ @ @;# # # #
AG_Hays;2018-11-19 03:52;0;0;"@ Aiannucci @ Anna_Soubry @ Jacob_Rees_Mogg @ BorisJohnson @ LordAshcroft KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman-> # UKGDP DROP # LEAST%11 more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono @ Arron_banks RU doing "Gold & diamond deals"? @ GCHQpic.twitter.com/MmL6eFYpQ3";;@ @ @ @ @ @ @;# # # #
AG_Hays;2018-11-19 03:41;0;0;"@ Aiannucci @ Anna_Soubry @ Jacob_Rees_Mogg @ BorisJohnson @ LordAshcroft KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman-> # UKGDP DROP # LEAST%11 more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono? @ Arron_banks RU doing "Gold & diamond deals"? @ GCHQpic.twitter.com/Mj6iymYNEu";;@ @ @ @ @ @ @;# # # #
AG_Hays;2018-11-19 03:31;0;0;"@ Aiannucci @ Anna_Soubry @ j_l_marsden- @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman-> # UKGDP DROP # LEAST%11 more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono? @ Arron_banks RU doing "Gold & diamond deals"? @ GCHQ";;@ @ @ @ @ @ @;# # # #
AG_Hays;2018-11-19 01:54;1;0;"@ Aiannucci @ Anna_Soubry @ j_l_marsden- @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman See # UKGDP DROP # LEAST%11 Or more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono? Arron RU doing "Gold & diamond deals"? @ GCHQpic.twitter.com/sG3UdQuq9w";;@ @ @ @ @ @;# # # #
AG_Hays;2018-11-19 00:52;0;0;"@ Aiannucci @ Anna_Soubry @ j_l_marsden- @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman See # UKGDP DROP # LEAST%11 Or more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono? Arron RU doing "Gold & diamond deals"? @ GCHQpic.twitter.com/OAJw9FLzhU";;@ @ @ @ @ @;# # # #
